"sqft","floor","max_floor","rooms","finishing ","type_of_housing","subway","time_to_subway","transport_accessibility","park","time_to_park","reservoirs","mall","shool","time_to school","hospital","time_to_hospital","kindergarten","time_to_kindergarten","time_to_bar","parking_space","price","link"
"37.9","7","8","2","нет","новостройка","петровский парк","6","8.3","петровский парк","2","нет","aviapark","№1601","3","GKB № 21","8","Smile fish","3","7","да","18912100","https://www.cian.ru/sale/flat/307295863/"
"129.5","10","41","4","да","новостройка","цска","12","7.4","петровский парк","5","нет","aviapark","№1601","6","GKB № 22","15","Smile fish","9","8","да","78598200","https://www.cian.ru/sale/flat/305654488/"
"55.9","2","41","2","да","новостройка","цска","12","7.4","петровский парк","5","нет","aviapark","№1601","5","GKB № 23","15","Smile fish","9","8","да","34330240","https://www.cian.ru/sale/flat/305654526/"
"80","5","19","3","нет","новостройка","динамо","6","","Dynamo Park","5","нет","aviapark","№1601","2","GKB № 24","15","Smile fish","9","12","да","44000000","https://www.cian.ru/sale/flat/288051035/"
"75.3","5","21","2","да","новостройка","белорусская","9","7.5","Miussky Square","10","нет","Yamskoye Field","№ 1574","8","GBUZ №  62 phyllial №  4","9","Smile fish","3","4","да","41220000","https://www.cian.ru/sale/flat/303477035/"
"38.7","3","6","2","да","новостройка","новослободская","9","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","2","discovery preschool","1","3","да","38313000","https://www.cian.ru/sale/flat/305369283/"
"229.9","5","6","6","да","новостройка","новослободская","5","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","3","discovery preschool","1","2","да","436810000","https://www.cian.ru/sale/flat/306335108/"
"65.5","2","6","3","да","новостройка","новослободская","5","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","3","discovery preschool","1","2","да","62225000","https://www.cian.ru/sale/flat/305369288/"
"237.4","5","6","6","да","новостройка","новослободская","5","","Delegate Park","6","Antropovsky Pond","friendship","№ 1574","3","Invitro","3","discovery preschool","1","2","да","451060000","https://www.cian.ru/sale/flat/306335109/"
"152","2","4","4","нет","новостройка","цветной бульвар","9","8.8","Catherine Square","2","Bolshoy Catherine Pond","Olympic Plaza","№ 2054","7","MMOTS","4","№ 2054","5","8","да","110960000","https://www.cian.ru/sale/flat/309024355/"
"124.7","4","4","3","да","новостройка","цветной бульвар","9","8.8","Catherine Square","3","Bolshoy Catherine Pond","Olympic Plaza","№ 2055","8","MMOTS","4","№ 2055","6","8","да","96642000","https://www.cian.ru/sale/flat/309024354/"
"63.2","4","4","2","да","новостройка","цветной бульвар","9","8.8","Catherine Square","4","Bolshoy Catherine Pond","Olympic Plaza","№ 2056","9","MMOTS","4","№ 2056","7","8","да","56880000","https://www.cian.ru/sale/flat/309024352/"
"38.7","4","4","1","да","новостройка","цветной бульвар","9","8.8","Catherine Square","5","Bolshoy Catherine Pond","Olympic Plaza","№ 2057","10","MMOTS","4","№ 2057","8","8","да","34830000","https://www.cian.ru/sale/flat/309024349/"
"81","2","4","2","да","новостройка","цветной бульвар","9","8.8","Catherine Square","6","Bolshoy Catherine Pond","Olympic Plaza","№ 2058","11","MMOTS","4","№ 2058","9","8","да","68850000","https://www.cian.ru/sale/flat/309028906/"
"206.8","3","4","4","да","новостройка","цветной бульвар","9","8.8","Catherine Square","7","Bolshoy Catherine Pond","Olympic Plaza","№ 2059","12","MMOTS","4","№ 2059","10","8","да","142560000","https://www.cian.ru/sale/flat/309024357/"
"256.2","3","4","6","да","новостройка","цветной бульвар","9","8.8","Catherine Square","8","Bolshoy Catherine Pond","Olympic Plaza","№ 2060","13","MMOTS","4","№ 2060","11","8","да","179218000","https://www.cian.ru/sale/flat/309024358/"
"85.4","10","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2107","6","Research Institute of Emergency Medicine","3","№ 1500","2","10","да","53492401","https://www.cian.ru/sale/flat/298576225/"
"85.8","19","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2108","6","Research Institute of Emergency Medicine","3","№ 1501","2","10","да","57192978","https://www.cian.ru/sale/flat/298576247/"
"84.1","11","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2109","6","Research Institute of Emergency Medicine","3","№ 1502","2","10","да","54858490","https://www.cian.ru/sale/flat/298576228/"
"83.9","3","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2110","6","Research Institute of Emergency Medicine","3","№ 1503","2","10","да","50884000","https://www.cian.ru/sale/flat/298576221/"
"85.3","3","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2111","6","Research Institute of Emergency Medicine","3","№ 1504","2","10","да","50729815","https://www.cian.ru/sale/flat/298576219/"
"85.5","5","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2112","6","Research Institute of Emergency Medicine","3","№ 1505","2","10","да","51431829","https://www.cian.ru/sale/flat/298576223/"
"42.6","17","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2113","6","Research Institute of Emergency Medicine","3","№ 1506","2","10","да","32304178","https://www.cian.ru/sale/flat/303491144/"
"67.7","2","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2114","6","Research Institute of Emergency Medicine","3","№ 1507","2","10","да","42355790","https://www.cian.ru/sale/flat/298576255/"
"49.8","15","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2115","6","Research Institute of Emergency Medicine","3","№ 1508","2","10","да","36558799","https://www.cian.ru/sale/flat/298576268/"
"66.7","7","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2116","6","Research Institute of Emergency Medicine","3","№ 1509","2","10","да","441115010","https://www.cian.ru/sale/flat/298576257/"
"45.8","15","22","3","нет","новостройка","комсомольская","4","8.3","Apothecary Garden","8","нет","Moskovsky","№ 2117","6","Research Institute of Emergency Medicine","3","№ 1510","2","10","да","34320614","https://www.cian.ru/sale/flat/298576270/"
"47.4","4","28","1","нет","новостройка","сокольники","14","","Park сокольники","18","Yauza River","сокольники","№ 1282","6","St. Vladimir's Children's Hospital","9","Smile fish","7","16","да","20556200","https://www.cian.ru/sale/flat/305914382/"
"42.4","17","28","1","нет","новостройка","сокольники","14","","Park сокольники","18","Yauza River","сокольники","№ 1283","6","St. Vladimir's Children's Hospital","9","Smile fish","7","16","да","21276210","https://www.cian.ru/sale/flat/305914415/"
"94.6","3","28","1","нет","новостройка","сокольники","14","","Park сокольники","18","Yauza River","сокольники","№ 1284","6","St. Vladimir's Children's Hospital","9","Smile fish","7","16","да","40782060","https://www.cian.ru/sale/flat/305914366/"
"69.8","2","28","1","нет","новостройка","сокольники","14","","Park сокольники","18","Yauza River","сокольники","№ 1285","6","St. Vladimir's Children's Hospital","9","Smile fish","7","16","да","27755740","https://www.cian.ru/sale/flat/305914364/"
"65.4","2","28","1","нет","новостройка","сокольники","14","","Park сокольники","18","Yauza River","сокольники","№ 1286","6","St. Vladimir's Children's Hospital","9","Smile fish","7","16","да","28180860","https://www.cian.ru/sale/flat/305914359/"
"54.2","5","28","1","нет","новостройка","сокольники","14","","Park сокольники","18","Yauza River","сокольники","№ 1287","6","St. Vladimir's Children's Hospital","9","Smile fish","7","16","да","25679960","https://www.cian.ru/sale/flat/305914386/"
"99.2","9","16","3","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","55085760","https://www.cian.ru/sale/flat/304416329/"
"52.6","3","16","2","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","26995636","https://www.cian.ru/sale/flat/304416168/"
"51.5","6","16","2","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","28412580","https://www.cian.ru/sale/flat/304416309/"
"52.8","9","16","2","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","30460320","https://www.cian.ru/sale/flat/304416203/"
"101.4","7","16","4","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","57493800","https://www.cian.ru/sale/flat/304416427/"
"99.4","2","16","3","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","50410710","https://www.cian.ru/sale/flat/304416281/"
"100.6","12","16","3","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","57492900","https://www.cian.ru/sale/flat/304416351/"
"175","11","16","5","нет","новостройка","сокольники","10","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","4","St. Vladimir's Children's Hospital","4","Smile fish","6","16","да","99697500","https://www.cian.ru/sale/flat/304416253/"
"72.5","16","20","2","да","новостройка","сокольники","13","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","7","St. Vladimir's Children's Hospital","3","Smile fish","3","11","да","49593263","https://www.cian.ru/sale/flat/306828595/"
"61.1","7","20","2","да","новостройка","сокольники","13","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","7","St. Vladimir's Children's Hospital","3","Smile fish","3","11","да","39597810","https://www.cian.ru/sale/flat/306828663/"
"41.5","18","20","2","да","новостройка","сокольники","13","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","7","St. Vladimir's Children's Hospital","3","Smile fish","3","11","да","30705062","https://www.cian.ru/sale/flat/306828717/"
"73.1","19","20","2","да","новостройка","сокольники","13","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","7","St. Vladimir's Children's Hospital","3","Smile fish","3","11","да","57858358","https://www.cian.ru/sale/flat/306828723/"
"108.7","12","20","2","да","новостройка","сокольники","13","7.1","Park сокольники","14","Yauza River","сокольники","№ 1282","7","St. Vladimir's Children's Hospital","3","Smile fish","3","11","да","73373478","https://www.cian.ru/sale/flat/306828694/"
"50.4","4","12","2","нет","новостройка","преображенская площадь","5","","Khapilovsky Square","7","Yauza River","dawn","школа на Яузе","5","CDC №2 branch №2","10","Smile fish","10","4","да","26053070","https://www.cian.ru/sale/flat/300878826/"
"34.4","10","12","2","нет","новостройка","преображенская площадь","5","","Khapilovsky Square","7","Yauza River","dawn","школа на Яузе","5","CDC №2 branch №2","10","Smile fish","10","4","да","19372498","https://www.cian.ru/sale/flat/300878920/"
"69.2","11","12","2","нет","новостройка","преображенская площадь","5","","Khapilovsky Square","7","Yauza River","dawn","школа на Яузе","5","CDC №2 branch №2","10","Smile fish","10","4","да","39198409","https://www.cian.ru/sale/flat/300878939/"
"61.2","8","12","2","нет","новостройка","преображенская площадь","5","","Khapilovsky Square","7","Yauza River","dawn","школа на Яузе","5","CDC №2 branch №2","10","Smile fish","10","4","да","35878622","https://www.cian.ru/sale/flat/300878897/"
"70.1","11","12","2","нет","новостройка","преображенская площадь","5","","Khapilovsky Square","7","Yauza River","dawn","школа на Яузе","5","CDC №2 branch №2","10","Smile fish","10","4","да","39679893","https://www.cian.ru/sale/flat/300878929/"
"32.7","15","24","2","да","новостройка","измайловская","9","7","Izmailovsky Park","11","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","6","Burn Center","8","№ 1505","3","4","да","13853666","https://www.cian.ru/sale/flat/307899451/"
"19.1","24","24","2","да","новостройка","измайловская","9","7","Izmailovsky Park","11","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","6","Burn Center","8","№ 1505","3","4","да","8988144","https://www.cian.ru/sale/flat/309366099/"
"60.6","3","24","2","да","новостройка","измайловская","9","7","Izmailovsky Park","11","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","6","Burn Center","8","№ 1505","3","4","да","20082360","https://www.cian.ru/sale/flat/309366079/"
"37","3","24","2","да","новостройка","измайловская","9","7","Izmailovsky Park","11","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","6","Burn Center","8","№ 1505","3","4","да","15674845","https://www.cian.ru/sale/flat/306730065/"
"32","24","24","2","да","новостройка","измайловская","9","7","Izmailovsky Park","11","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","6","Burn Center","8","№ 1505","3","4","да","14500530","https://www.cian.ru/sale/flat/306730086/"
"52.7","6","10","1","да","новостройка","измайловская","20","","Izmailovsky Park","6","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","5","Burn Center","9","№ 1505","3","12","да","12800000","https://www.cian.ru/sale/flat/307855018/"
"49.3","6","10","1","да","новостройка","измайловская","20","","Izmailovsky Park","6","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","5","Burn Center","9","№ 1505","3","12","да","13500000","https://www.cian.ru/sale/flat/309351415/"
"71.2","8","10","1","да","новостройка","измайловская","20","","Izmailovsky Park","6","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","5","Burn Center","9","№ 1505","3","12","да","17990000","https://www.cian.ru/sale/flat/305178938/"
"85.1","6","10","1","да","новостройка","измайловская","20","","Izmailovsky Park","6","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","5","Burn Center","9","№ 1505","3","12","да","18995000","https://www.cian.ru/sale/flat/303336905/"
"95.8","8","10","1","да","новостройка","измайловская","20","","Izmailovsky Park","6","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","5","Burn Center","9","№ 1505","3","12","да","22750000","https://www.cian.ru/sale/flat/303335178/"
"101.4","8","10","1","да","новостройка","измайловская","20","","Izmailovsky Park","6","Serebryano-Vinogradny Pond","Izmailovsky Vernissage","№ 1505","5","Burn Center","9","№ 1505","3","12","да","22750000","https://www.cian.ru/sale/flat/303335993/"
"45.3","6","13","1","да","новостройка","площадь ильича","9","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","12","да","25000000","https://www.cian.ru/sale/flat/309378865/"
"65","12","13","1","да","новостройка","площадь ильича","9","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","12","да","39900000","https://www.cian.ru/sale/flat/307649240/"
"84.6","13","14","3","да","новостройка","площадь ильича","10","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","11","да","49402560","https://www.cian.ru/sale/flat/309308705/"
"61.9","2","20","2","нет","новостройка","площадь ильича","11","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","14","да","23833788","https://www.cian.ru/sale/flat/309415144/"
"63.5","10","22","2","нет","новостройка","площадь ильича","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","27500000","https://www.cian.ru/sale/flat/307659148/"
"75","21","22","2","нет","новостройка","римская","11","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","21","да","36900000","https://www.cian.ru/sale/flat/308191619/"
"121","10","22","3","нет","новостройка","римская","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","56000000","https://www.cian.ru/sale/flat/303717251/"
"170.5","2","2","4","нет","новостройка","римская","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","110000000","https://www.cian.ru/sale/flat/275397507/"
"42.5","5","22","1","нет","новостройка","серп и молот","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","20500000","https://www.cian.ru/sale/flat/297726153/"
"49.6","14","22","1","нет","новостройка","серп и молот","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","22000000","https://www.cian.ru/sale/flat/290465723/"
"73","4","22","2","нет","новостройка","серп и молот","11","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","21","да","27779992","https://www.cian.ru/sale/flat/309084560/"
"63.1","8","22","2","нет","новостройка","площадь ильича","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","28000000","https://www.cian.ru/sale/flat/303415262/"
"67.9","12","22","2","нет","новостройка","римская","11","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","21","да","31300000","https://www.cian.ru/sale/flat/305969423/"
"75","21","22","Open layout","нет","новостройка","площадь ильича","11","","Park Green River","7","нет","gorod","№ 1580","9","Polyclinic № 187","10","sun school","10","21","да","36900000","https://www.cian.ru/sale/flat/299228245/"
"121.8","15","22","4","нет","новостройка","площадь ильича","19","","Park Green River","6","нет","gorod","№ 1580","8","Polyclinic № 187","10","sun school","9","21","да","60000000","https://www.cian.ru/sale/flat/299019232/"
"96.1","2","14","3","нет","новостройка","белорусская","11","","Patriarch's Ponds","15","Patriarch's Ponds","Tishinka","Romanov School","3","MEDSI","10","sun school","6","4","да","105340000","https://www.cian.ru/sale/flat/304094878/"
"51.5","7","9","1","нет","новостройка","белорусская","11","","Patriarch's Ponds","15","Patriarch's Ponds","Tishinka","Romanov School","3","MEDSI","10","sun school","6","4","да","63920000","https://www.cian.ru/sale/flat/304094789/"
"104.2","5","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","150958800","https://www.cian.ru/sale/flat/286258299/"
"57.6","8","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","117936000","https://www.cian.ru/sale/flat/307211222/"
"1067.4","9","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","2577771000","https://www.cian.ru/sale/flat/284599342/"
"104","6","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","154518000","https://www.cian.ru/sale/flat/293149097/"
"94","8","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","151504500","https://www.cian.ru/sale/flat/289484526/"
"104.1","8","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","162317925","https://www.cian.ru/sale/flat/289518816/"
"99.7","9","9","2","да","новостройка","маяковская","1","8.8","Sadovoy-Triumfalny Square","8","Patriarch's Ponds","Gallery","№ 1574","6","Medicine","5","№ 2054","4","3","да","188433000","https://www.cian.ru/sale/flat/302731634/"
"173.3","1","6","2","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","3","да","363030000","https://www.cian.ru/sale/flat/308803465/"
"264.6","4","6","3","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","3","да","661500000","https://www.cian.ru/sale/flat/308110877/"
"424.6","3","4","4","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","3","да","976580000","https://www.cian.ru/sale/flat/308110878/"
"620.1","6","6","4","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","3","да","2418390000","https://www.cian.ru/sale/flat/308157873/"
"192.2","1","6","2","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","3","да","403620000","https://www.cian.ru/sale/flat/305311557/"
"299.6","4","4","3","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","3","да","749000000","https://www.cian.ru/sale/flat/308110879/"
"590.3","5","5","5","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","2","да","2361200000","https://www.cian.ru/sale/flat/308564823/"
"320","4","5","3","да","новостройка","пушкинская","7","","Patriarch's Ponds","3","Patriarch's Ponds","Gallery","№ 1574","4","Medicine","3","№ 2054","4","2","да","800000000","https://www.cian.ru/sale/flat/305311556/"
"59.4","4","6","1","нет","новостройка","кузнецкий мост","4","","цветной бульвар","6","нет","TSUM","№ 1520","6","City Clinical Hospital № 29","15","smile fish","9","5","да","101785250","https://www.cian.ru/sale/flat/307205775/"
"203.3","5","6","1","нет","новостройка","кузнецкий мост","4","","цветной бульвар","6","нет","TSUM","№ 1520","6","City Clinical Hospital № 29","15","smile fish","9","5","да","650560000","https://www.cian.ru/sale/flat/308892399/"
"48.2","4","6","2","да","новостройка","охотный ряд","7","8","Alexander Garden","7","нет","TSUM","№ 1520","3","City Clinical Hospital № 29","12","smile fish","9","3","да","106128000","https://www.cian.ru/sale/flat/302083456/"
"275.2","4","6","2","да","новостройка","охотный ряд","7","8","Alexander Garden","7","нет","TSUM","№ 1520","3","City Clinical Hospital № 29","12","smile fish","9","3","да","553770000","https://www.cian.ru/sale/flat/300660135/"
"87.9","3","6","2","да","новостройка","охотный ряд","7","8","Alexander Garden","7","нет","TSUM","№ 1520","3","City Clinical Hospital № 29","12","smile fish","9","3","да","167762920","https://www.cian.ru/sale/flat/300660137/"
"166.3","6","6","2","да","новостройка","охотный ряд","7","8","Alexander Garden","7","нет","TSUM","№ 1520","3","City Clinical Hospital № 29","12","smile fish","9","3","да","448704380","https://www.cian.ru/sale/flat/300660131/"
"319.9","6","6","4","да","новостройка","охотный ряд","5","8","Alexander Garden","7","нет","TSUM","№ 1520","2","City Clinical Hospital № 29","13","smile fish","9","2","да","1566703068","https://www.cian.ru/sale/flat/300660093/"
"340.8","4","6","4","да","новостройка","охотный ряд","5","8","Alexander Garden","7","нет","TSUM","№ 1520","2","City Clinical Hospital № 29","13","smile fish","9","2","да","965878675","https://www.cian.ru/sale/flat/300660090/"
"192.3","2","6","4","да","новостройка","охотный ряд","5","8","Alexander Garden","7","нет","TSUM","№ 1520","2","City Clinical Hospital № 29","13","smile fish","9","2","да","528687500","https://www.cian.ru/sale/flat/300660087/"
"244.9","6","6","4","да","новостройка","охотный ряд","5","8","Alexander Garden","7","нет","TSUM","№ 1520","2","City Clinical Hospital № 29","13","smile fish","9","2","да","1236940026","https://www.cian.ru/sale/flat/300660097/"
"508.2","6","6","6","да","новостройка","охотный ряд","4","","Alexander Garden","7","нет","TSUM","№ 1520","1","City Clinical Hospital № 29","10","smile fish","12","3","да","1982014700","https://www.cian.ru/sale/flat/302907661/"
"155.6","3","6","6","да","новостройка","охотный ряд","4","","Alexander Garden","7","нет","TSUM","№ 1520","1","City Clinical Hospital № 29","10","smile fish","12","3","да","336428000","https://www.cian.ru/sale/flat/302907495/"
"247.8","1","6","6","да","новостройка","охотный ряд","5","","Alexander Garden","8","нет","TSUM","№ 1521","2","City Clinical Hospital № 30","11","smile fish","13","3","да","551151200","https://www.cian.ru/sale/flat/302907457/"
"160.6","3","6","6","да","новостройка","охотный ряд","6","","Alexander Garden","9","нет","TSUM","№ 1522","3","City Clinical Hospital № 31","12","smile fish","14","3","да","347078000","https://www.cian.ru/sale/flat/302907505/"
"136.5","3","6","6","да","новостройка","охотный ряд","7","","Alexander Garden","10","нет","TSUM","№ 1523","4","City Clinical Hospital № 32","13","smile fish","15","3","да","329597000","https://www.cian.ru/sale/flat/302907540/"
"68.8","1","6","6","да","новостройка","охотный ряд","8","","Alexander Garden","11","нет","TSUM","№ 1524","5","City Clinical Hospital № 33","14","smile fish","16","3","да","166680000","https://www.cian.ru/sale/flat/302907409/"
"211.4","1","6","6","да","новостройка","охотный ряд","9","","Alexander Garden","12","нет","TSUM","№ 1525","6","City Clinical Hospital № 34","15","smile fish","17","3","да","455282000","https://www.cian.ru/sale/flat/302907450/"
"202.2","1","6","6","да","новостройка","охотный ряд","10","","Alexander Garden","13","нет","TSUM","№ 1526","7","City Clinical Hospital № 35","16","smile fish","18","3","да","435686000","https://www.cian.ru/sale/flat/302907436/"
"226.5","1","6","6","да","новостройка","охотный ряд","11","","Alexander Garden","14","нет","TSUM","№ 1527","8","City Clinical Hospital № 36","17","smile fish","19","3","да","543617000","https://www.cian.ru/sale/flat/302907428/"
"243.9","5","6","6","да","новостройка","охотный ряд","12","","Alexander Garden","15","нет","TSUM","№ 1528","9","City Clinical Hospital № 37","18","smile fish","20","3","да","651769760","https://www.cian.ru/sale/flat/302907651/"
"483.4","6","6","6","да","новостройка","охотный ряд","13","","Alexander Garden","16","нет","TSUM","№ 1529","10","City Clinical Hospital № 38","19","smile fish","21","3","да","1885542700","https://www.cian.ru/sale/flat/302907671/"
"89.2","2","6","6","да","новостройка","охотный ряд","14","","Alexander Garden","17","нет","TSUM","№ 1530","11","City Clinical Hospital № 39","20","smile fish","22","3","да","223540000","https://www.cian.ru/sale/flat/302907480/"
"136.5","4","6","6","да","новостройка","охотный ряд","15","","Alexander Garden","18","нет","TSUM","№ 1531","12","City Clinical Hospital № 40","21","smile fish","23","3","да","353348000","https://www.cian.ru/sale/flat/302907596/"
"57.8","6","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","84214600","https://www.cian.ru/sale/flat/294641874/"
"57.7","5","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","83665000","https://www.cian.ru/sale/flat/294641842/"
"458.3","8","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","723197400","https://www.cian.ru/sale/flat/294775310/"
"122.1","6","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","160561500","https://www.cian.ru/sale/flat/294641846/"
"122.1","5","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","154578600","https://www.cian.ru/sale/flat/299319262/"
"296.8","3","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","458259200","https://www.cian.ru/sale/flat/294641869/"
"125.4","7","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","173679000","https://www.cian.ru/sale/flat/294641859/"
"122.2","7","8","1","нет","новостройка","китай-город","14","7.6","Park of the Usachev-Naydenov estate","5","Yauza River","нет","№ 1685","1","Scientific Center of Neurology","5","№ 1","7","2","да","169247000","https://www.cian.ru/sale/flat/294641848/"
